######################
#### TULWANGI DNA ####
######################

radomor_dna = { # Alrain Awesome DNA
	portrait_info={
		genes={ 		
			hair_color={ 110 233 110 233 }
			skin_color={ 39 240 39 240 }
			eye_color={ 13 254 13 254 }
			gene_chin_forward={ "chin_forward_pos" 122 "chin_forward_pos" 122 }
			gene_chin_height={ "chin_height_neg" 134 "chin_height_neg" 134 }
			gene_chin_width={ "chin_width_neg" 169 "chin_width_neg" 169 }
			gene_eye_angle={ "eye_angle_neg" 132 "eye_angle_neg" 132 }
			gene_eye_depth={ "eye_depth_pos" 195 "eye_depth_pos" 195 }
			gene_eye_height={ "eye_height_pos" 184 "eye_height_pos" 184 }
			gene_eye_distance={ "eye_distance_neg" 123 "eye_distance_neg" 123 }
			gene_eye_shut={ "eye_shut_neg" 109 "eye_shut_neg" 109 }
			gene_forehead_angle={ "forehead_angle_neg" 191 "forehead_angle_neg" 191 }
			gene_forehead_brow_height={ "forehead_brow_height_neg" 123 "forehead_brow_height_neg" 123 }
			gene_forehead_roundness={ "forehead_roundness_neg" 90 "forehead_roundness_neg" 90 }
			gene_forehead_width={ "forehead_width_pos" 173 "forehead_width_pos" 173 }
			gene_forehead_height={ "forehead_height_neg" 93 "forehead_height_neg" 93 }
			gene_head_height={ "head_height_pos" 107 "head_height_pos" 107 }
			gene_head_width={ "head_width_pos" 134 "head_width_pos" 134 }
			gene_head_profile={ "head_profile_pos" 83 "head_profile_pos" 83 }
			gene_head_top_height={ "head_top_height_pos" 91 "head_top_height_pos" 91 }
			gene_head_top_width={ "head_top_width_neg" 109 "head_top_width_neg" 109 }
			gene_jaw_angle={ "jaw_angle_pos" 137 "jaw_angle_pos" 137 }
			gene_jaw_forward={ "jaw_forward_neg" 108 "jaw_forward_neg" 108 }
			gene_jaw_height={ "jaw_height_pos" 95 "jaw_height_pos" 95 }
			gene_jaw_width={ "jaw_width_pos" 135 "jaw_width_pos" 135 }
			gene_mouth_corner_depth={ "mouth_corner_depth_pos" 138 "mouth_corner_depth_pos" 138 }
			gene_mouth_corner_height={ "mouth_corner_height_pos" 128 "mouth_corner_height_pos" 128 }
			gene_mouth_forward={ "mouth_forward_neg" 113 "mouth_forward_neg" 113 }
			gene_mouth_height={ "mouth_height_neg" 171 "mouth_height_neg" 171 }
			gene_mouth_width={ "mouth_width_neg" 125 "mouth_width_neg" 125 }
			gene_mouth_upper_lip_size={ "mouth_upper_lip_size_neg" 171 "mouth_upper_lip_size_neg" 171 }
			gene_mouth_lower_lip_size={ "mouth_lower_lip_size_pos" 181 "mouth_lower_lip_size_pos" 181 }
			gene_mouth_open={ "mouth_open_neg" 59 "mouth_open_neg" 59 }
			gene_neck_length={ "neck_length_pos" 137 "neck_length_pos" 137 }
			gene_neck_width={ "neck_width_pos" 86 "neck_width_pos" 86 }
			gene_bs_cheek_forward={ "cheek_forward_pos" 43 "cheek_forward_pos" 43 }
			gene_bs_cheek_height={ "cheek_height_neg" 77 "cheek_height_neg" 77 }
			gene_bs_cheek_width={ "cheek_width_pos" 123 "cheek_width_pos" 123 }
			gene_bs_ear_angle={ "ear_angle_neg" 39 "ear_angle_neg" 39 }
			gene_bs_ear_inner_shape={ "ear_inner_shape_pos" 81 "ear_inner_shape_pos" 81 }
			gene_bs_ear_bend={ "ear_both_bend_pos" 52 "ear_both_bend_pos" 52 }
			gene_bs_ear_outward={ "ear_outward_pos" 9 "ear_outward_pos" 9 }
			gene_bs_ear_size={ "ear_size_pos" 40 "ear_size_pos" 40 }
			gene_bs_eye_corner_depth={ "eye_corner_depth_neg" 129 "eye_corner_depth_neg" 129 }
			gene_bs_eye_fold_shape={ "eye_fold_shape_pos" 131 "eye_fold_shape_pos" 131 }
			gene_bs_eye_size={ "eye_size_neg" 33 "eye_size_neg" 33 }
			gene_bs_eye_upper_lid_size={ "eye_upper_lid_size_neg" 115 "eye_upper_lid_size_neg" 115 }
			gene_bs_forehead_brow_curve={ "forehead_brow_curve_neg" 115 "forehead_brow_curve_neg" 115 }
			gene_bs_forehead_brow_forward={ "forehead_brow_forward_pos" 111 "forehead_brow_forward_pos" 111 }
			gene_bs_forehead_brow_inner_height={ "forehead_brow_inner_height_neg" 49 "forehead_brow_inner_height_neg" 49 }
			gene_bs_forehead_brow_outer_height={ "forehead_brow_outer_height_pos" 3 "forehead_brow_outer_height_pos" 3 }
			gene_bs_forehead_brow_width={ "forehead_brow_width_pos" 49 "forehead_brow_width_pos" 49 }
			gene_bs_jaw_def={ "jaw_def_pos" 49 "jaw_def_pos" 49 }
			gene_bs_mouth_lower_lip_def={ "mouth_lower_lip_def_pos" 172 "mouth_lower_lip_def_pos" 172 }
			gene_bs_mouth_lower_lip_full={ "mouth_lower_lip_full_pos" 42 "mouth_lower_lip_full_pos" 42 }
			gene_bs_mouth_lower_lip_pad={ "mouth_lower_lip_pad_pos" 23 "mouth_lower_lip_pad_pos" 23 }
			gene_bs_mouth_lower_lip_width={ "mouth_lower_lip_width_neg" 59 "mouth_lower_lip_width_neg" 59 }
			gene_bs_mouth_philtrum_def={ "mouth_philtrum_def_pos" 110 "mouth_philtrum_def_pos" 110 }
			gene_bs_mouth_philtrum_shape={ "mouth_philtrum_shape_pos" 102 "mouth_philtrum_shape_pos" 102 }
			gene_bs_mouth_philtrum_width={ "mouth_philtrum_width_neg" 39 "mouth_philtrum_width_neg" 39 }
			gene_bs_mouth_upper_lip_def={ "mouth_upper_lip_def_pos" 30 "mouth_upper_lip_def_pos" 30 }
			gene_bs_mouth_upper_lip_full={ "mouth_upper_lip_full_pos" 56 "mouth_upper_lip_full_pos" 56 }
			gene_bs_mouth_upper_lip_profile={ "mouth_upper_lip_profile_neg" 25 "mouth_upper_lip_profile_neg" 25 }
			gene_bs_mouth_upper_lip_width={ "mouth_upper_lip_width_neg" 53 "mouth_upper_lip_width_neg" 53 }
			gene_bs_nose_forward={ "nose_forward_neg" 87 "nose_forward_neg" 87 }
			gene_bs_nose_height={ "nose_height_neg" 41 "nose_height_neg" 41 }
			gene_bs_nose_length={ "nose_length_pos" 93 "nose_length_pos" 93 }
			gene_bs_nose_nostril_height={ "nose_nostril_height_pos" 21 "nose_nostril_height_pos" 21 }
			gene_bs_nose_nostril_width={ "nose_nostril_width_pos" 131 "nose_nostril_width_pos" 131 }
			gene_bs_nose_profile={ "nose_profile_neg" 83 "nose_profile_neg" 83 }
			gene_bs_nose_ridge_angle={ "nose_ridge_angle_neg" 107 "nose_ridge_angle_neg" 107 }
			gene_bs_nose_ridge_width={ "nose_ridge_width_pos" 95 "nose_ridge_width_pos" 95 }
			gene_bs_nose_size={ "nose_size_pos" 47 "nose_size_pos" 47 }
			gene_bs_nose_tip_angle={ "nose_tip_angle_pos" 51 "nose_tip_angle_pos" 51 }
			gene_bs_nose_tip_forward={ "nose_tip_forward_neg" 117 "nose_tip_forward_neg" 117 }
			gene_bs_nose_tip_width={ "nose_tip_width_neg" 65 "nose_tip_width_neg" 65 }
			face_detail_cheek_def={ "cheek_def_01" 82 "cheek_def_01" 82 }
			face_detail_cheek_fat={ "cheek_fat_01_neg" 98 "cheek_fat_01_neg" 98 }
			face_detail_chin_cleft={ "chin_cleft" 16 "chin_cleft" 16 }
			face_detail_chin_def={ "chin_def" 238 "chin_def" 238 }
			face_detail_eye_lower_lid_def={ "eye_lower_lid_def" 208 "eye_lower_lid_def" 208 }
			face_detail_eye_socket={ "eye_socket_01" 54 "eye_socket_01" 54 }
			face_detail_nasolabial={ "nasolabial_01" 95 "nasolabial_01" 95 }
			face_detail_nose_ridge_def={ "nose_ridge_def_neg" 104 "nose_ridge_def_neg" 104 }
			face_detail_nose_tip_def={ "nose_tip_def" 200 "nose_tip_def" 200 }
			face_detail_temple_def={ "temple_def" 212 "temple_def" 212 }
			expression_brow_wrinkles={ "brow_wrinkles_01" 8 "brow_wrinkles_01" 8 }
			expression_eye_wrinkles={ "eye_wrinkles_02" 81 "eye_wrinkles_02" 81 }
			expression_forehead_wrinkles={ "forehead_wrinkles_02" 90 "forehead_wrinkles_02" 90 }
			expression_other={ "nose_wrinkles_01" 0 "nose_wrinkles_01" 0 }
			complexion={ "complexion_7" 255 "complexion_7" 255 }
			gene_height={ "normal_height" 149 "normal_height" 149 } # Evaluated
			gene_bs_body_type={ "body_fat_head_fat_full" 143 "body_fat_head_fat_full" 143 }
			gene_bs_body_shape={ "body_shape_triangle_half" 157 "body_shape_triangle_half" 157 }
			gene_bs_bust={ "bust_default" 207 "bust_default" 207 }
			gene_age={ "old_3" 111 "old_3" 111 }
			gene_eyebrows_shape={ "close_spacing_avg_thickness" 236 "close_spacing_avg_thickness" 236 }
			gene_eyebrows_fullness={ "layer_2_avg_thickness" 255 "layer_2_avg_thickness" 255 }
			gene_body_hair={ "body_hair_dense" 21 "body_hair_dense" 21 }
			gene_hair_type={ "hair_afro" 103 "hair_afro" 103 }
			gene_baldness={ "male_pattern_baldness" 190 "male_pattern_baldness" 190 }
			gene_ear_point={ "ear_point_pos" 23 "ear_point_pos" 23 }
			gene_lotr_race_shape={ "man" 127 "man" 127 }
			gene_uruk_head_decals={ "no_decal" 127 "no_decal" 127 }
			gene_uruk_body_decals={ "no_decal" 127 "no_decal" 127 }
			gene_haradrim_head_decals={ "no_decal" 127 "no_decal" 127 }
			gene_subdermal_implant_decals={ "no_decal" 127 "no_decal" 127 }
			eye_accessory={ "normal_eyes" 138 "normal_eyes" 138 }
			teeth_accessory={ "normal_teeth" 0 "normal_teeth" 0 }
			eyelashes_accessory={ "normal_eyelashes" 19 "normal_eyelashes" 19 }
			race_head_accessory={ "man" 0 "man" 0 }
			race_body_accessory={ "man" 0 "man" 0 }
        gene_bs_eye_height_inside={ "vanilla_eye_height_inside" 127 "vanilla_eye_height_inside" 127 }
        gene_bs_eye_height_outisde={ "vanilla_eye_height_outisde" 127 "vanilla_eye_height_outisde" 127 }
        gene_bs_ear_lobe={ "vanilla_ear_lobe" 127 "vanilla_ear_lobe" 127 }
        gene_bs_nose_central_width={ "vanilla_nose_central_width" 127 "vanilla_nose_central_width" 127 }
        gene_bs_nose_septum_width={ "vanilla_nose_septum_width" 127 "vanilla_nose_septum_width" 127 }
        gene_bs_mouth_lower_lip_profile={ "vanilla_lower_lip_profile" 127 "vanilla_lower_lip_profile" 127 }
        gene_bs_eye_outer_width={ "vanilla_eye_outer_width" 127 "vanilla_eye_outer_width" 127 }
        gene_bs_head_asymmetry_1={ "vanilla_head_asymmetry_1" 127 "vanilla_head_asymmetry_1" 127 }
        gene_bs_mouth_center_curve={ "vanilla_mouth_center_curve" 127 "vanilla_mouth_center_curve" 127 }
        gene_bs_eyebrow_straight={ "vanilla_eyebrow_straight" 127 "vanilla_eyebrow_straight" 127 }
        gene_bs_head_shape={ "vanilla_head_round_shape" 127 "vanilla_head_round_shape" 127 }
        gene_bs_nose_septum_height={ "vanilla_nose_septum_height" 127 "vanilla_nose_septum_height" 127 }
        gene_bs_head_lower_height={ "vanilla_head_lower_height" 127 "vanilla_head_lower_height" 127 }
